时间, Changliu3 - Avg[V 有效值 A] (V), Changliu1 - Avg[V 有效值 A] (V), Changliu2 - Avg[V 有效值 A] (V), Changliu4 - Avg[V 有效值 A] (V), KunYang3 - Avg[V 有效值 A] (V), KunYang1 - Avg[V 有效值 A] (V), WanKe2 - Avg[V 有效值 A] (V), WanKe1 - Avg[V 有效值 A] (V), QinZhou4 - Avg[V 有效值 A] (V), QinZhou3 - Avg[V 有效值 A] (V), JiangChuan5 - Avg[V 有效值 A] (V), JiangChuan3 - Avg[V 有效值 A] (V), JiangChuan1 - Avg[V 有效值 A] (V), JiangChuan4 - Avg[V 有效值 A] (V), JiangChuan2 - Avg[V 有效值 A] (V)
2018-02-01 03:30:00,67150.0234375,67042.4765625,67055.8046875,67162.6875,6048.060546875,21113.220703125,6118.30615234375,6066.51708984375,5985.58642578125,6063.4560546875,21278.40625,65249.69140625,67490.671875,21382.26171875,66745.0234375
2018-02-01 03:33:00,67169.890625,67062.5,67075.4296875,67182.4375,6052.154296875,21127.80859375,6122.236328125,6068.20654296875,5985.322265625,6061.44091796875,21285.310546875,65294.67578125,67535.296875,21397.453125,66761.1953125
2018-02-01 03:36:00,67164.7734375,67065.5,67078.5859375,67177.296875,6053.37255859375,21131.10546875,6121.673828125,6068.796875,5986.76416015625,6064.64013671875,21285.244140625,65307.453125,67548.8046875,21404.14453125,66767.765625
2018-02-01 03:39:00,67163.9765625,67064.5859375,67077.7109375,67176.5,6053.00146484375,21129.255859375,6119.8408203125,6066.7490234375,5988.53173828125,6064.642578125,21284.48828125,65298.41015625,67542.703125,21402.513671875,66770.078125
2018-02-01 03:42:00,67150.2109375,67048.40625,67061.2734375,67162.8828125,6050.79248046875,21121.345703125,6121.8427734375,6068.03955078125,5989.38427734375,6063.625,21278.775390625,65277.7265625,67557.21875,21406.984375,66761.5859375
2018-02-01 03:45:00,67148.3984375,67042.8984375,67055.953125,67160.9140625,6051.52099609375,21125.201171875,6122.078125,6070.48828125,5990.88232421875,6064.62744140625,21282.408203125,65287.26953125,67597.1015625,21418.15625,66764.3828125
2018-02-01 03:48:00,67156.921875,67053.125,67066.125,67169.34375,6052.8154296875,21127.734375,6124.04541015625,6072.58251953125,5991.099609375,6065.072265625,21287.08203125,65294.9609375,67543.5625,21401.16796875,66769.65625
2018-02-01 03:51:00,67173.7578125,67065.7265625,67078.8359375,67186.25,6055.0654296875,21133.587890625,6123.0546875,6071.18701171875,5991.4638671875,6065.529296875,21288.736328125,65311.0078125,67553.2109375,21405.630859375,66772.40625
2018-02-01 03:54:00,67177.265625,67058.859375,67071.890625,67189.9921875,6053.3955078125,21132.24609375,6122.39599609375,6072.181640625,5993.0517578125,6065.828125,21288.279296875,65308.3125,67545.59375,21399.72265625,66773.3046875
2018-02-01 03:57:00,67177.4375,67058.4921875,67071.5234375,67190.25,6054.25244140625,21133.2421875,6124.00390625,6071.79931640625,5991.92138671875,6063.07861328125,21289.173828125,65315.79296875,67541.2890625,21397.703125,66775.1796875
2018-02-01 04:00:00,67191.578125,67077.71875,67090.828125,67204.3984375,6052.923828125,21129.482421875,6124.09423828125,6068.919921875,5990.72509765625,6063.943359375,21289.76171875,65299.1796875,67561.265625,21404.39453125,66788.296875
2018-02-01 04:03:00,67211.6328125,67088.796875,67101.828125,67224.125,6053.7822265625,21132.005859375,6123.6474609375,6068.1962890625,5990.70849609375,6066.6044921875,21290.73828125,65301.83984375,67562.796875,21406.0703125,66790.8671875
2018-02-01 04:06:00,67195.4609375,67070.9765625,67084.0078125,67208.0546875,6053.87744140625,21129.5546875,6126.0029296875,6072.25830078125,5990.4765625,6065.0126953125,21287.095703125,65295.984375,67572.25,21409.87109375,66778.0703125
2018-02-01 04:09:00,67173.53125,67059.609375,67072.6640625,67186.09375,6051.021484375,21121.2890625,6125.0927734375,6073.07958984375,5992.14404296875,6065.90185546875,21282.603515625,65272.64453125,67575.1875,21411.662109375,66759.4296875
2018-02-01 04:12:00,67179.3125,67055.2578125,67068.484375,67191.875,6053.59912109375,21131.33203125,6123.9833984375,6072.4443359375,5993.66650390625,6065.30322265625,21285.60546875,65302.00390625,67576.234375,21410.197265625,66757.28125
