时间, Changliu3 - Avg[I 有效值 A] (A), Changliu1 - Avg[I 有效值 A] (A), Changliu2 - Avg[I 有效值 A] (A), KunYang3 - Avg[I 有效值 A] (A), KunYang1 - Avg[I 有效值 A] (A), WanKe2 - Avg[I 有效值 A] (A), WanKe1 - Avg[I 有效值 A] (A), QinZhou4 - Avg[I 有效值 A] (A), QinZhou3 - Avg[I 有效值 A] (A), JiangChuan5 - Avg[I 有效值 A] (A), JiangChuan3 - Avg[I 有效值 A] (A), JiangChuan1 - Avg[I 有效值 A] (A), JiangChuan4 - Avg[I 有效值 A] (A), JiangChuan2 - Avg[I 有效值 A] (A)
2018-02-05 06:54:00,30.1866035461426,0.0,30.0128078460693,0.879680335521698,100.908111572266,98.2168655395508,66.9224014282227,44.5707015991211,3.89719557762146,62.719898223877,59.557056427002,82.5286712646484,63.6794624328613,0.0
2018-02-05 06:57:00,31.7483978271484,0.0,29.3756732940674,0.878953754901886,102.687210083008,99.177734375,66.6910400390625,44.5295181274414,3.78132557868958,63.4002571105957,60.2697486877441,83.4072341918945,65.7724990844727,0.0
2018-02-05 07:00:00,32.2773361206055,0.0,30.6147060394287,0.87447714805603,103.638122558594,99.0705947875977,67.2171020507813,46.3166809082031,3.69528698921204,61.4074783325195,60.3571472167969,83.8666839599609,63.1443367004395,0.0
2018-02-05 07:03:00,32.9789695739746,0.0,28.2593841552734,0.869573652744293,108.374664306641,99.8599319458008,70.2264556884766,45.0040397644043,3.99749803543091,63.8482093811035,60.2515029907227,84.9923477172852,63.4861183166504,0.0
2018-02-05 07:06:00,32.8885269165039,0.0,29.1204853057861,0.871188461780548,106.382339477539,101.119834899902,69.0601272583008,44.7936248779297,4.01323795318604,63.3908042907715,60.7533760070801,86.6034545898438,64.9182968139648,0.0
2018-02-05 07:09:00,33.6663551330566,0.0,29.14866065979,0.871108829975128,133.776016235352,101.086624145508,69.486701965332,45.2159042358398,4.56950330734253,61.2148056030273,61.4464340209961,84.8593902587891,63.8701171875,0.0
2018-02-05 07:12:00,33.7692489624023,0.0,29.7863235473633,0.872223556041718,133.411911010742,101.475067138672,69.9806823730469,45.7323570251465,4.18611574172974,62.1797561645508,62.4935722351074,85.74853515625,63.2828407287598,0.0
2018-02-05 07:15:00,35.4798393249512,0.0,27.8984146118164,0.871155500411987,129.468383789063,101.865394592285,71.6042327880859,44.4649963378906,4.84853029251099,60.0925674438477,63.1291236877441,86.9912567138672,65.1331100463867,0.0
2018-02-05 07:18:00,35.2000427246094,0.0,29.2183055877686,0.871113836765289,129.047668457031,102.327201843262,72.4596862792969,45.6356391906738,4.55187511444092,60.6679000854492,63.9352035522461,87.1248626708984,67.0167922973633,0.0
2018-02-05 07:21:00,34.1483192443848,0.0,28.9365921020508,0.871366560459137,124.586006164551,101.236587524414,72.2150268554688,45.8236618041992,4.88878107070923,60.4172248840332,64.4238739013672,86.7721405029297,66.6051940917969,0.0
2018-02-05 07:24:00,32.9234313964844,0.0,27.0088443756104,0.871820747852325,123.94800567627,102.040466308594,73.2328948974609,45.2966117858887,4.52130365371704,59.4907035827637,64.9051361083984,90.2605285644531,65.3921585083008,0.0
2018-02-05 07:27:00,34.2320785522461,0.0,30.591136932373,0.875406384468079,121.909370422363,102.511352539063,73.8473587036133,45.9506301879883,5.06170272827148,58.3930816650391,65.2898178100586,88.1745452880859,65.6693649291992,0.0
2018-02-05 07:30:00,32.8942489624023,0.0,29.3694324493408,0.873380959033966,126.038414001465,102.504112243652,71.7972717285156,45.8522605895996,4.87297821044922,58.6752967834473,66.1820678710938,90.5159530639648,67.0983657836914,0.0
2018-02-05 07:33:00,34.9512062072754,0.0,25.1499919891357,0.87101012468338,122.849327087402,99.9898223876953,72.5331878662109,45.0051116943359,4.93836164474487,61.1350135803223,67.5028762817383,89.8145065307617,70.8600921630859,0.0
2018-02-05 07:36:00,35.8668670654297,0.0,33.2876663208008,0.871947526931763,113.524475097656,101.371368408203,74.5597305297852,45.9888496398926,5.29637575149536,69.3143310546875,68.5792694091797,91.125602722168,74.7574844360352,0.0
2018-02-05 07:39:00,34.5030479431152,0.0,27.8675441741943,0.871846675872803,104.431373596191,102.041717529297,75.3580932617188,45.6208915710449,6.06146907806396,75.4354553222656,69.239372253418,93.1287536621094,74.2176361083984,0.0
2018-02-05 07:42:00,35.1366539001465,0.0,27.3330783843994,0.876002252101898,101.955558776855,101.698364257813,75.6540451049805,44.6093826293945,6.25671529769897,77.6240539550781,69.7063980102539,95.0025482177734,79.2391662597656,0.0
2018-02-05 07:45:00,35.0164489746094,0.0,30.5586738586426,0.897553682327271,106.557403564453,102.936790466309,76.2959747314453,45.3179244995117,6.48968505859375,75.5088272094727,70.2868041992188,97.8529891967773,82.1228103637695,0.0
2018-02-05 07:48:00,36.0452079772949,0.0,29.3612632751465,0.928987860679626,100.650886535645,104.224990844727,75.2152481079102,46.2776336669922,6.91845035552979,71.3022994995117,71.3210678100586,94.9296646118164,85.0109786987305,0.0
2018-02-05 07:51:00,37.8809661865234,0.0,30.3455219268799,0.928303718566895,98.4792709350586,105.604064941406,74.0545120239258,45.1381683349609,6.94447994232178,70.4220733642578,72.6182861328125,98.2127532958984,87.2538604736328,0.0
2018-02-05 07:54:00,34.0973129272461,0.0,29.977258682251,0.913113594055176,97.1698455810547,105.924766540527,73.9438095092773,44.9450836181641,6.84924697875977,69.8628768920898,74.0472183227539,100.848388671875,91.0708618164063,0.0
2018-02-05 07:57:00,36.7116355895996,0.0,29.1038074493408,0.92145699262619,95.5972061157227,108.76033782959,79.2339782714844,46.1919860839844,7.25880527496338,68.5977172851563,74.4656600952148,100.461578369141,93.0743789672852,0.0
2018-02-05 08:00:00,37.1011199951172,0.0,32.3034744262695,0.877245128154755,94.8138122558594,111.229026794434,81.5133285522461,44.822681427002,6.83530855178833,70.663200378418,75.8191909790039,102.069366455078,94.3918228149414,0.0
2018-02-05 08:03:00,40.1736602783203,0.0,30.5539970397949,0.874033749103546,93.4664611816406,114.187965393066,81.3560638427734,44.5343742370605,7.43290233612061,77.2693786621094,76.2673110961914,99.4425506591797,96.6676330566406,0.0
2018-02-05 08:06:00,36.3979759216309,0.0,32.386890411377,0.879628658294678,95.5890655517578,118.599464416504,83.27685546875,45.2406578063965,8.29077243804932,76.7965545654297,77.5901412963867,102.707466125488,98.3058013916016,0.0
2018-02-05 08:09:00,39.3047485351563,0.0,30.5370445251465,0.872749090194702,99.7637786865234,119.51838684082,84.2342529296875,44.9680557250977,8.86208534240723,79.8910827636719,77.6189422607422,103.639701843262,103.503318786621,0.0
